credit_score,debt_to_income_ratio,employment_years,annual_income_k,approved
765,0.27,6,96,1
722,0.4,5,92,1
731,0.14,7,88,1
547,0.48,0,39,0
616,0.48,0,26,0
581,0.54,0,30,0
581,0.18,5,69,1
640,0.63,1,28,0
552,0.48,0,55,0
646,0.14,7,57,1
750,0.32,3,87,1
507,0.49,2,29,0
564,0.57,3,41,0
637,0.32,9,97,1
513,0.42,2,24,0
548,0.56,1,38,0
743,0.17,4,109,1
626,0.57,0,23,0
633,0.11,9,91,1
710,0.3,6,102,1
557,0.32,2,26,0
735,0.32,5,122,1
618,0.51,1,41,0
704,0.15,4,105,1
672,0.2,5,125,1
641,0.31,9,104,1
761,0.18,3,110,1
695,0.27,7,85,1
586,0.52,0,43,0
521,0.48,1,29,0
699,0.38,6,123,1
642,0.35,7,50,1
691,0.25,7,54,1
641,0.27,8,93,1
517,0.55,0,36,0
544,0.49,2,44,0
489,0.67,1,38,0
528,0.55,0,37,0
563,0.49,1,35,0
746,0.34,5,123,1
710,0.22,6,98,1
619,0.5,1,29,0
756,0.29,6,76,1
616,0.19,7,65,1
561,0.65,2,15,0
614,0.47,0,29,0
748,0.22,7,75,1
749,0.33,3,111,1
593,0.53,2,28,0
718,0.29,7,101,1
652,0.49,2,19,0
544,0.59,0,35,0
718,0.37,2,67,1
627,0.38,0,27,0
529,0.32,0,39,0
684,0.3,11,115,1
546,0.42,1,36,0
705,0.1,5,89,1
582,0.35,1,30,0
698,0.2,7,74,1
590,0.52,1,31,0
723,0.34,3,85,1
629,0.27,4,126,1
801,0.21,4,81,1
719,0.3,5,102,1
527,0.58,2,29,0
713,0.21,5,119,1
662,0.43,1,17,0
691,0.19,4,79,1
552,0.64,1,22,0
711,0.26,4,105,1
585,0.55,1,43,0
523,0.55,0,14,0
687,0.13,2,115,1
583,0.43,2,32,0
553,0.58,3,23,0
706,0.22,4,89,1
593,0.39,0,20,0
663,0.49,2,36,0
511,0.52,1,44,0
614,0.3,7,77,1
666,0.23,5,80,1
732,0.27,5,132,1
507,0.32,2,39,0
604,0.58,1,43,0
734,0.23,7,119,1
571,0.6,1,31,0
687,0.22,6,91,1
554,0.62,0,20,0
680,0.32,4,69,1
734,0.21,4,113,1
657,0.47,2,27,0
514,0.43,0,16,0
718,0.27,7,59,1
751,0.24,5,99,1
498,0.45,1,55,0
556,0.5,0,49,0
698,0.28,6,91,1
668,0.27,7,94,1
603,0.55,1,21,0
713,0.39,11,100,1
713,0.41,7,72,1
538,0.58,2,42,0
641,0.36,2,18,0
606,0.52,2,39,0
530,0.46,0,26,0
660,0.26,3,88,1
802,0.16,4,83,1
560,0.55,0,21,0
618,0.32,2,26,0
591,0.53,1,40,0
826,0.29,7,97,1
571,0.37,1,40,0
594,0.65,2,31,0
656,0.08,7,82,1
473,0.47,1,38,0
739,0.27,3,90,1
699,0.18,10,69,1
613,0.49,0,31,0
656,0.31,6,102,1
709,0.34,3,53,1
491,0.51,2,44,0
639,0.32,0,29,0
597,0.47,0,32,0
777,0.17,3,64,1
733,0.19,5,106,1
656,0.64,1,15,0
578,0.51,0,46,0
768,0.25,2,73,1
642,0.23,5,88,1
549,0.57,2,23,0
680,0.28,3,73,1
668,0.26,3,110,1
544,0.64,1,16,0
755,0.31,6,68,1
526,0.47,0,29,0
713,0.2,4,105,1
552,0.5,0,31,0
761,0.22,6,95,1
652,0.42,0,20,0
540,0.37,2,53,0
592,0.52,1,50,0
606,0.45,1,19,0
708,0.22,6,50,1
696,0.21,2,87,1
693,0.21,6,91,1
741,0.26,7,93,1
619,0.42,2,24,0
729,0.24,6,90,1
725,0.1,7,100,1
525,0.47,1,42,0
582,0.44,0,21,0
785,0.16,6,84,1
682,0.2,4,96,1
711,0.22,7,106,1
699,0.16,5,100,1
611,0.56,0,29,0
571,0.51,2,29,0
659,0.2,6,74,1
715,0.29,2,85,1
574,0.44,0,19,0
656,0.69,0,24,0
590,0.64,2,31,0
490,0.73,0,38,0
709,0.34,7,112,1
749,0.29,4,103,1
630,0.54,0,45,0
692,0.32,9,100,1
571,0.63,0,40,0
666,0.36,6,70,1
738,0.2,5,100,1
822,0.21,2,112,1
722,0.27,4,115,1
759,0.19,3,60,1
483,0.49,1,35,0
548,0.56,0,30,0
623,0.45,2,39,0
660,0.41,4,60,1
621,0.49,3,35,0
573,0.32,0,39,0
734,0.23,4,98,1
745,0.21,2,95,1
556,0.61,2,27,0
667,0.52,0,51,0
557,0.62,2,52,0
632,0.58,0,24,0
646,0.32,9,114,1
569,0.53,0,21,0
698,0.26,2,64,1
763,0.15,6,83,1
508,0.41,1,32,0
596,0.5,2,27,0
638,0.22,5,96,1
545,0.32,0,25,0
663,0.37,5,103,1
582,0.46,1,27,0
663,0.38,3,98,1
696,0.2,4,81,1
574,0.41,0,17,0
568,0.52,3,35,0
